,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
258,I kolejna migawka z trasy. Tym razem Dolny Śląsk! #Bosak2020 _link_ ,twitter,47,3.6,1.0,1.0,1.0,1.0,3.8,4.2,2.6,0.0,0.65,0.0,0.0,0.0,0.0,0.7,0.8,0.4,2.0928544729227867,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,2.409896875818747,1.6672696569010328,0.2686874224225369,9.758413434863932
801,"Dzisiejszy wywiad w tygodniku „Do Rzeczy”. Tytuł nie jest cytatem z moich wypowiedzi (uważam że mówienie rzeczy oczywistych jest w kiepskim stylu). Interesujące jest, że w prawie wszystkim różniłem się z redaktorem _users_ , prowadzącym wywiad. Polecam! #Bosak2020🇵🇱 _link_ ",twitter,9,2.0,1.0,2.0,1.6,1.2,3.6,3.0,2.6,3.0,0.25,0.0,0.25,0.15,0.0499999999999999,0.65,0.5,0.4,0.3724461238330569,0.9023972241428534,0.0436857581793179,0.0233465077622956,0.4075242569935894,2.1798037039930414,0.3610511399614108,0.2686874224225369,4.558942137288103
951,"Poniżej niewielka galeria zdjęć 😊👇 Dzieje się, a już o 13:00 zaczynamy dzisiejsze spotkanie w Ciechanowie w ramach kampanii #Bosak2020!",,82,4.0,1.0,1.0,1.2,1.2,3.4,4.0,2.4,0.0,0.75,0.0,0.0,0.0499999999999999,0.0499999999999999,0.6,0.75,0.35,2.5229565601952197,0.9023972241428534,0.9183631631352648,0.5056158974470742,0.4075242569935894,1.9497105321673356,1.449566570744429,0.0017090036806836,8.657843208506451
1806,"_users_ Byłam tam, bo pisałam powyborczy komentarz o RT i wysłuchałam całego przemówienia. RT zaczął od podziękowań dla MKB, ale zaraz później przeszedł do wychwalania Hołowni, gestów w stronę Bosaka i Kosiniaka-Kamysza (w tej kolejności), co było ukłonem w stronę ich wyborców",twitter,58,1.6,1.0,1.4,1.4,1.0,2.0,3.2,1.8,0.0,0.15,0.0,0.0999999999999999,0.0999999999999999,0.0,0.25,0.55,0.2,0.0576559634393754,0.9023972241428534,0.5335435946094318,0.2644812026046851,0.7521940272312464,0.3390583293873943,0.5787542261180146,0.7992262525448753,4.227310820077876
3740,:) Obecna sytuacja elektorska: Krzysztof Bosak - 9 Grzegorz Braun - 3 Konrad Berkowicz - 2 Artur Dziambor - 2 Janusz Korwin-Mikke - 1 Jacek Wilk - 1,,77,1.6,1.0,1.0,1.0,1.0,1.4,3.0,1.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0999999999999999,0.5,0.0499999999999999,0.0576559634393754,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.3512211860897234,0.3610511399614108,1.6001615087704344,5.689794805059773
5379,Stoisko grupy rekonstrukcji historycznych na wydarzeniach towarzyszących Biegowi #TropemWilczym w Ostrowcu. A już za kwadrans zaczynamy spotkanie otwarte z sympatykami! #Bosak2020 #BosakwTrasie _link_ ,twitter,21,3.2,1.0,1.0,1.0,1.0,2.4,3.8,2.6,0.0,0.55,0.0,0.0,0.0,0.0,0.35,0.7,0.4,1.6627523856503543,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.7992446730388059,1.2318634845878251,0.2686874224225369,7.282252972498351
5627,"✔️ Na konferencji pojawią się także koledzy posłowie - Panowie Krzysztof Bosak, Artur Dziambor oraz Pan mecenas Jacek Wilk!",,36,3.0,1.0,1.0,1.0,1.0,3.6,4.2,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.65,0.8,0.5,1.447701342014138,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,2.1798037039930414,1.6672696569010328,0.8026442599062428,9.417123969613282
6222,"""Kaczyński uważa, że polityka zagraniczna ma być służebna polityce wewnętrznej. Prezes musi wierzyć, że na konflikcie z Rosją uda się pognębić K. Bosaka. PAD brakuje kilku procent, żeby wygrać wybory w I turze,a te kilka procent ma kandydat Konfederacji."" _link_ ",twitter,39,1.0,1.8,2.8,1.6,1.2,1.4,2.0,1.6,0.0,0.0,0.2,0.4499999999999999,0.15,0.0499999999999999,0.0999999999999999,0.25,0.15,0.7028090943480242,0.2434476187436453,0.813324895230984,0.0233465077622956,0.4075242569935894,0.3512211860897234,0.7274642908216074,1.0662046712867284,4.335342521276598
6373,Dziękuję za zaufanie i proszę o więcej! Trzy nurty ideowej prawicy pracujące zgodnie razem to musi być recepta na sukces 👌🏻 #NaprzódPolsko #NowyPorządek #Bosak2020🇵🇱 _link_ ,twitter,85,4.2,1.0,1.0,1.0,1.0,4.6,4.6,2.8,0.0,0.8,0.0,0.0,0.0,0.0,0.8999999999999999,0.8999999999999999,0.4499999999999999,2.738007603831436,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,3.33026956312157,2.10267582921424,0.5356658411643895,12.026323844130465
6471,"Gdyby ten tweet był obrazem, można by go zatytułować: ""Ugiertychowanie Krzysztofa Bosaka"". _link_ ",twitter,90,1.8,2.2,2.6,1.8,1.0,1.0,2.0,2.8,1.0,0.2,0.3,0.4,0.2,0.0,0.0,0.25,0.4499999999999999,0.1573950801968407,0.8163700401868949,0.6209151109680676,0.2177881870800934,0.7521940272312464,0.8114075297411351,0.7274642908216074,0.5356658411643895,4.639200107390275
6873,Zobaczcie co powiedziałem o praworządności i Unii Europejskiej #Bosak2020,,95,1.8,1.0,1.2,1.4,1.0,2.6,3.6,2.0,0.0,0.2,0.0,0.0499999999999999,0.0999999999999999,0.0,0.4,0.65,0.25,0.1573950801968407,0.9023972241428534,0.7259533788723483,0.2644812026046851,0.7521940272312464,1.029337844864512,1.0141603984312215,0.5322478338030223,5.37816699014673
