,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
124,"_users_ Dlaczego w zajawce jest wypowiedź ministra Czarnka, skoro na nagraniu jest fragment z konferencji prasowej ministra Czarnka? Zapewne dlatego, że to wideo z konferencji ministra Czarnka. Cieszę się, że mogłem pomóc.",twitter,69,1.2,1.4,2.6,1.4,1.0,1.6,2.6,2.8,5.0,0.0499999999999999,0.0999999999999999,0.4,0.0999999999999999,0.0,0.15,0.4,0.4499999999999999,0.487758050711808,0.3294748026996042,0.6209151109680676,0.2644812026046851,0.7521940272312464,0.1211280142640174,0.0743550323517963,0.5356658411643895,3.1859720819956143
188,_users_ Czarnek tworzy pisowsko- narodowy grajdoł,twitter,8,1.0,2.0,2.6,2.6,1.6,1.2,2.2,2.4,2.0,0.0,0.25,0.4,0.4,0.15,0.0499999999999999,0.3,0.35,0.7028090943480242,0.5299088294652698,0.6209151109680676,1.1823269664496503,0.281815283481725,0.5813143579154293,0.5097612046650035,0.0017090036806836,4.410559850973853
366,"Nauczyciele juz wiedzą? Minister Czarnek: Nigdy nie było takich podwyżek w oświacie...o 3,3 % inflacji w budzecie roku 2022 pan minister pamięta?",twitter,7,1.0,2.8,4.0,3.2,2.0,1.0,1.6,3.4,3.0,0.0,0.4499999999999999,0.75,0.55,0.25,0.0,0.15,0.6,0.7028090943480242,1.6757536723517683,1.9677836008084837,1.905731050976818,0.971154823957039,0.8114075297411351,1.1628704631348146,1.3366010973899487,10.53411133270803
726,"2/2 Na uboczu walki z #koronawirus, życie toczy się dalej. Rodzina Bogiem i Konstytucją silna! #rodzina #ordoiuris #pis #czarnek",twitter,71,4.0,1.2,1.0,1.0,1.2,3.4,4.4,2.8,0.0,0.75,0.0499999999999999,0.0,0.0,0.0499999999999999,0.6,0.8500000000000001,0.4499999999999999,2.5229565601952197,0.6159360134212288,0.9183631631352648,0.7467505922894634,0.4075242569935894,1.9497105321673356,1.8849727430576368,0.5356658411643895,9.581879702424128
1116,Czarnek o łamaniu prawa przez „nadzwyczajną kastę”: Musi być reakcja przewidziana w przepisach _link_ ,twitter,61,1.0,1.0,2.6,2.2,1.4,1.0,2.4,3.2,0.0,0.0,0.0,0.4,0.3,0.0999999999999999,0.0,0.35,0.55,0.7028090943480242,0.9023972241428534,0.6209151109680676,0.700057576764872,0.0628544867559323,0.8114075297411351,0.2920581185084002,1.069622678648096,5.16212181987738
1412,"Kolejny dowód na to, jak bardzo potrzebujemy zmiany władzy i rozdziału Kościoła od __link__ takes a really great talent to pull off such a turn as minister Czarnek, who's education mistaken for the Church.",,89,1.0,2.4,3.4,2.0,1.6,1.4,1.8,3.2,0.0,0.0,0.35,0.6,0.25,0.15,0.0999999999999999,0.2,0.55,0.7028090943480242,1.102831250908519,1.3905542480197337,0.4589228819224826,0.281815283481725,0.3512211860897234,0.945167376978211,1.069622678648096,6.302944000396515
1821,ZNP ocenia deklaracje Czarnka: nie ma pieniędzy na podwyżki dla nauczycieli,twitter,29,1.0,2.0,1.6,1.8,1.0,1.0,2.2,2.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.3,0.25,0.7028090943480242,0.5299088294652698,0.3411338103465151,0.2177881870800934,0.7521940272312464,0.8114075297411351,0.5097612046650035,0.5322478338030223,4.39725051668031
2278,_users_ Ależ Pan komicznie naiwny. A co ma Pan Czarnek mówić. Przecież nie powie że jego kumple będą odpowiadać przed prokuratorem. A będą...,twitter,82,1.2,2.2,3.0,3.4,1.2,1.4,1.4,2.6,1.0,0.0499999999999999,0.3,0.5,0.6,0.0499999999999999,0.0999999999999999,0.0999999999999999,0.4,0.487758050711808,0.8163700401868949,1.0057346794939006,2.146865745819207,0.4075242569935894,0.3512211860897234,1.3805735492914184,0.2686874224225369,6.864734931009079
2344,"Doradca Czarnka: ateiści nie nadają się do edukacji, a ateizm jest atakiem na ludzki rozum _link_ ",twitter,4,1.0,1.6,3.0,3.4,1.8,1.8,1.6,2.6,0.0,0.0,0.15,0.5,0.6,0.2,0.2,0.15,0.4,0.7028090943480242,0.0430135919779793,1.0057346794939006,2.146865745819207,0.626485053719382,0.1089651575616884,1.1628704631348146,0.2686874224225369,6.065431208477533
2351,"_users_ Minister Czarnek okazuje szacunek tylko tym, którzy się z nim zgadzają.",twitter,63,1.0,2.0,3.2,2.2,1.0,1.2,1.8,2.6,1.0,0.0,0.25,0.55,0.3,0.0,0.0499999999999999,0.2,0.4,0.7028090943480242,0.5299088294652698,1.1981444637568175,0.700057576764872,0.7521940272312464,0.5813143579154293,0.945167376978211,0.2686874224225369,5.678283148882407
2883,"Czarnek sprzeciwia się ""ideologii ekologizmu"" w szkołach. Rozumiem, że dla odmiany każdy uczeń dostanie tonę węgla w ramach rządowego projektu walki z ekologizmem?",twitter,21,1.0,1.8,3.8,2.4,1.2,1.2,1.8,3.0,5.0,0.0,0.2,0.7,0.35,0.0499999999999999,0.0499999999999999,0.2,0.5,0.7028090943480242,0.2434476187436453,1.7753738165455666,0.9411922716072608,0.4075242569935894,0.5813143579154293,0.945167376978211,0.8026442599062428,6.39947305303797
2962,"Ci ludzie z lewicy i ze środowiska lewackiego muszą zrozumieć, że są mniejszością w tym kraju.” ~ Przemysław Czarnek ➡️ To poglądy tego homofobicznego ministra- inkwizytora szowinisty rodem ze średniowiecza są mniejszością w Polsce.",,54,1.0,2.4,4.2,4.0,1.4,1.4,1.0,4.0,0.0,0.0,0.35,0.8,0.75,0.0999999999999999,0.0999999999999999,0.0,0.75,0.7028090943480242,1.102831250908519,2.1601933850714,2.8702698303463747,0.0628544867559323,0.3512211860897234,1.8159797216046256,2.137536353615508,11.203695308740109
3287,"List prof. Łętowskiej do rektora KUL ws. skandalicznych wypowiedzi posła #Czarnka z #PIS: ""Nie godzi się pracownikowi naukowemu w ten sposób mówić o ludziach i prawach człowieka"" _link_ ",twitter,82,1.2,1.8,3.4,3.4,1.6,2.0,1.2,2.6,0.0,0.0499999999999999,0.2,0.6,0.6,0.15,0.25,0.0499999999999999,0.4,0.487758050711808,0.2434476187436453,1.3905542480197337,2.146865745819207,0.281815283481725,0.3390583293873943,1.598276635448022,0.2686874224225369,6.7564633340340725
3289,"Minister Niedzielski i minister Czarnek, mimo wielokrotnie składanych obietnic, że do ponownego lockdownu w edukacji nie dojdzie, teraz już wprost mówią, że szkoły mogą zostać zamknięte nawet z dnia na dzień.",,21,1.0,3.0,3.0,1.6,3.4,1.0,1.4,3.0,0.0,0.0,0.5,0.5,0.15,0.6,0.0,0.0999999999999999,0.5,0.7028090943480242,1.9622148830733928,1.0057346794939006,0.0233465077622956,3.3838432156206384,0.8114075297411351,1.3805735492914184,0.8026442599062428,10.072573719237049
3398,"Gdy w Sejmie prezentowaliśmy projekt ustawy o powrocie do normalności, ministrowie Niedzielski oraz Czarnek ogłosili... luzowanie obostrzeń!",,78,1.4,2.2,4.2,2.6,2.0,1.2,1.8,3.6,0.0,0.0999999999999999,0.3,0.8,0.4,0.25,0.0499999999999999,0.2,0.65,0.2727070070755918,0.8163700401868949,2.1601933850714,1.1823269664496503,0.971154823957039,0.5813143579154293,0.945167376978211,1.603579516131802,8.53281347376602
3686,Tu również jesteśmy w ścisłej współpracy z państwem ukraińskim - mówił minister Przemysław Czarnek w Radio Lublin.,,52,1.8,1.0,1.0,1.0,1.0,2.2,3.6,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.65,0.25,0.1573950801968407,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.5691515012131003,1.0141603984312215,0.5322478338030223,5.5926598204430125
3750,"A już dziś na komisji Edukacji, Nauki i Młodzieży rozpatrzenie wniosku złożonego przez Koalicję Obywatelską o wotum nieufności wobec ministra Czarnka.",,2,2.0,1.6,2.0,1.6,1.6,1.2,2.6,2.0,0.0,0.25,0.15,0.25,0.15,0.15,0.0499999999999999,0.4,0.25,0.3724461238330569,0.0430135919779793,0.0436857581793179,0.0233465077622956,0.281815283481725,0.5813143579154293,0.0743550323517963,0.5322478338030223,1.9522244893046228
4328,🤬 NCZAS.COM Czarnek UJAWNIŁ plany rządu na kolejny rok szkolny.,,98,1.0,1.4,3.6,3.2,2.0,1.0,1.8,3.2,0.0,0.0,0.0999999999999999,0.65,0.55,0.25,0.0,0.2,0.55,0.7028090943480242,0.3294748026996042,1.5829640322826504,1.905731050976818,0.971154823957039,0.8114075297411351,0.945167376978211,1.069622678648096,8.318331389631577
4562,"„Elity do 2015 roku, sprzed rządów PIS, dbały tylko o siebie” mówi Morawiecki w Krakowie. To już wiemy, jakie będzie główne przesłanie przedmiotu HIT Czarnka. Bo to PIS przygotowuje program z nowej historii Polski do 2015 roku.  #HITeksperymentNaDzieciach",twitter,45,1.0,2.2,3.8,3.6,2.0,1.0,1.2,3.6,1.0,0.0,0.3,0.7,0.65,0.25,0.0,0.0499999999999999,0.65,0.7028090943480242,0.8163700401868949,1.7753738165455666,2.3880004406615964,0.971154823957039,0.8114075297411351,1.598276635448022,1.603579516131802,10.666971897020082
4721,"Gdy w tvp info minister Czarnek grzmi przeciw demoralizacji młodzieży przez nagość na Paradach Równości, na tvp2 jacyś panowie śpiewają o ""zarąbistej"" pani, która ""umie kręcić pupą i właśnie stała się obiektem pożądania"". Bardzo to spójne",twitter,92,1.0,2.0,4.0,3.6,1.6,1.6,1.8,3.4,4.0,0.0,0.25,0.75,0.65,0.15,0.15,0.2,0.6,0.7028090943480242,0.5299088294652698,1.9677836008084837,2.3880004406615964,0.281815283481725,0.1211280142640174,0.945167376978211,1.3366010973899487,8.273213737397276
5006,Dzięki prawu udało nam się dziś uzyskać przeprosiny od ministra Czarnka.,,75,2.8,1.2,1.4,1.0,1.0,2.2,4.2,2.8,0.0,0.4499999999999999,0.0499999999999999,0.0999999999999999,0.0,0.0,0.3,0.8,0.4499999999999999,1.2326502983779215,0.6159360134212288,0.5335435946094318,0.7467505922894634,0.7521940272312464,0.5691515012131003,1.6672696569010328,0.5356658411643895,6.653161525207814
7097,"My nie podnosimy wynagrodzeń związkom, tylko nauczycielom - powiedział minister edukacji i nauki Przemysław Czarnek pytany wspólne stanowisko ZNP, FZZ i Oświatowej ""S"", które odrzucają propozycje MEiN.",twitter,79,1.0,1.0,1.4,1.2,1.0,1.4,2.8,1.6,0.0,0.0,0.0,0.0999999999999999,0.0499999999999999,0.0,0.0999999999999999,0.4499999999999999,0.15,0.7028090943480242,0.9023972241428534,0.5335435946094318,0.5056158974470742,0.7521940272312464,0.3512211860897234,0.1433480538048069,1.0662046712867284,4.957333748959888
7334,"Dziękuję wszystkim zaangażowanym w pokazanie szkodliwości #LexCzarnek, w szczególności posłankom _users_ z Parlamentarnego Zespołu ds. Edukacji. Wasza determinacja i ciężka praca przyniosły efekt. Jest weto dla tego bubla prawnego.",twitter,78,4.6,1.6,2.4,1.6,1.4,4.6,4.4,3.6,1.0,0.8999999999999999,0.15,0.35,0.15,0.0999999999999999,0.8999999999999999,0.8500000000000001,0.65,3.168109691103868,0.0430135919779793,0.4285053267051509,0.0233465077622956,0.0628544867559323,3.33026956312157,1.8849727430576368,1.603579516131802,10.544651426616234
7706,"Czarnek: Ludzie, którzy oczerniają i desakralizują Jana Pawła II nie wiedzą, że wolność zawdzięczamy w dużej mierze jemu _link_ ",twitter,50,1.2,2.8,3.2,1.2,1.0,2.6,2.4,3.4,0.0,0.0499999999999999,0.4499999999999999,0.55,0.0499999999999999,0.0,0.4,0.35,0.6,0.487758050711808,1.6757536723517683,1.1981444637568175,0.5056158974470742,0.7521940272312464,1.029337844864512,0.2920581185084002,1.3366010973899487,7.277463172261575
