,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
277,Wolność kocham i rozumiem - wolności oddać nie umiem. Warszawa okazała solidarność. Kwarantanna społeczna przerwana przez wyrok Kaczyńskiego. _link_ ,twitter,14,1.2,2.6,3.0,2.2,1.6,2.6,2.0,2.2,2.0,0.0499999999999999,0.4,0.5,0.3,0.15,0.4,0.25,0.3,0.487758050711808,1.389292461630144,1.0057346794939006,0.700057576764872,0.281815283481725,1.029337844864512,0.7274642908216074,0.2652694150611691,5.886729602829738
321,"Ziemkiewicz o „wyzwaniu” Tuska dla Kaczyńskiego: „To może być niebezpieczne” NCZAS.COM Ziemkiewicz o ""wyzwaniu"" Tuska dla Kaczyńskiego.",,38,1.0,1.2,1.4,1.2,2.6,1.0,2.4,1.8,0.0,0.0,0.0499999999999999,0.0999999999999999,0.0499999999999999,0.4,0.0,0.35,0.2,0.7028090943480242,0.6159360134212288,0.5335435946094318,0.5056158974470742,2.0051641346700104,0.8114075297411351,0.2920581185084002,0.7992262525448753,6.265760635290181
485,"_users_ I jeszcze Donald Tusk zarzucający Kaczyńskiemu „postępującą emocjonalną destabilizację” i „groźne w skutkach zdziecinnienie” - idealny przykład mechanizmu obronnego, zwanego projekcją.",twitter,64,1.0,1.0,4.2,4.0,1.4,1.0,1.2,3.4,1.0,0.0,0.0,0.8,0.75,0.0999999999999999,0.0,0.0499999999999999,0.6,0.7028090943480242,0.9023972241428534,2.1601933850714,2.8702698303463747,0.0628544867559323,0.8114075297411351,1.598276635448022,1.3366010973899487,10.444809283243693
491,"_users_ Dziękuję. Zresztą brak jakichkolwiek sprostowań ze strony Pana szefa mnie w tym utwierdza. Ps. Wciąż na kilka pytań nie mam od Was odpowiedzi. Jako absolwent prawa UMK powinien Pan wiedzieć, że to złamanie prawa prasowego. Chyba że Pan Kaczyński jednak miał rację...",twitter,49,1.0,1.8,3.0,2.0,1.0,1.8,1.8,3.0,3.0,0.0,0.2,0.5,0.25,0.0,0.2,0.2,0.5,0.7028090943480242,0.2434476187436453,1.0057346794939006,0.4589228819224826,0.7521940272312464,0.1089651575616884,0.945167376978211,0.8026442599062428,5.019885096185442
628,"Prezydent Andrzej Duda postawił się prezesowi Kaczyńskiemu. Zasugerował zawetowanie podwyższenia składek ZUS. To ostatecznie przesądza, że przyszłoroczny budżet nie będzie zrównoważony. _link_ ",twitter,66,1.0,1.8,1.8,1.6,1.6,1.2,2.2,1.8,1.0,0.0,0.2,0.2,0.15,0.15,0.0499999999999999,0.3,0.2,0.7028090943480242,0.2434476187436453,0.1487240260835985,0.0233465077622956,0.281815283481725,0.5813143579154293,0.5097612046650035,0.7992262525448753,3.290444345544597
638,"🟥Czy wiecie, kto odpowiada za tę smierć? Lekarze maja związane ręce wyrokiem Kaczyńskiego wydanego ustami Przyłębskiej. _link_ ",twitter,18,1.0,3.0,3.4,2.4,1.4,1.0,1.8,2.8,0.0,0.0,0.5,0.6,0.35,0.0999999999999999,0.0,0.2,0.4499999999999999,0.7028090943480242,1.9622148830733928,1.3905542480197337,0.9411922716072608,0.0628544867559323,0.8114075297411351,0.945167376978211,0.5356658411643895,7.35186573168808
832,"A może by tak: „Uleganie Kaczyńskiemu, uleganie naciskom zza wschodniej granicy, uleganie kłamstwom władzy i bezprawnym zakazom, prowadzi do chaosu prawnego w Polsce i jest drogą donikąd (Polexit)”.  Quo vadis Polsko? 🇵🇱🇪🇺 _link_ ",twitter,58,1.0,2.8,3.4,2.6,2.8,1.4,1.6,2.8,0.0,0.0,0.4499999999999999,0.6,0.4,0.4499999999999999,0.0999999999999999,0.15,0.4499999999999999,0.7028090943480242,1.6757536723517683,1.3905542480197337,1.1823269664496503,2.3498339049076677,0.3512211860897234,1.1628704631348146,0.5356658411643895,9.351035376465772
1082,_users_ O „sensacyjnym” zdjęciu z Ewą Kopacz sądzę to samo co o zdjęciu z uśmiechniętym Kaczyńskim i Tarczyńskim na miesięcznicy Smoleńskiej.,twitter,43,2.2,1.2,2.0,2.0,1.0,1.2,2.0,2.4,4.0,0.3,0.0499999999999999,0.25,0.25,0.0,0.0499999999999999,0.25,0.35,0.5874971674692734,0.6159360134212288,0.0436857581793179,0.4589228819224826,0.7521940272312464,0.5813143579154293,0.7274642908216074,0.0017090036806836,3.76872350064127
1363,"Swoją drogą Kaczmarczyk w tym żałosnym oświadczeniu atakuje Kaczyńskiego za piątkę dla zwierząt, sugerując że to jest powód naszych publikacji. Nic głupszego nie czytałem dawno. Życzę mu powodzenia w kontynuuowaniu kariery politycznej 😎 _link_ ",twitter,65,1.8,1.2,3.0,2.6,1.2,1.4,1.8,2.4,4.0,0.2,0.0499999999999999,0.5,0.4,0.0499999999999999,0.0999999999999999,0.2,0.35,0.1573950801968407,0.6159360134212288,1.0057346794939006,1.1823269664496503,0.4075242569935894,0.3512211860897234,0.945167376978211,0.0017090036806836,4.667014563303828
1489,"_users_ To samo mówiłem, gdy takie akcje były pod domami Tuska, czy Kaczyńskiego. Uważam, że walka polityczna ma swoje granice. To jest ta granica.",twitter,20,1.0,2.4,3.0,2.2,1.6,1.6,2.2,2.6,0.0,0.0,0.35,0.5,0.3,0.15,0.15,0.3,0.4,0.7028090943480242,1.102831250908519,1.0057346794939006,0.700057576764872,0.281815283481725,0.1211280142640174,0.5097612046650035,0.2686874224225369,4.692824526348598
