,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
1806,"_users_ Byłam tam, bo pisałam powyborczy komentarz o RT i wysłuchałam całego przemówienia. RT zaczął od podziękowań dla MKB, ale zaraz później przeszedł do wychwalania Hołowni, gestów w stronę Bosaka i Kosiniaka-Kamysza (w tej kolejności), co było ukłonem w stronę ich wyborców",twitter,58,1.6,1.0,1.4,1.4,1.0,2.0,3.2,1.8,0.0,0.15,0.0,0.0999999999999999,0.0999999999999999,0.0,0.25,0.55,0.2,0.0576559634393754,0.9023972241428534,0.5335435946094318,0.2644812026046851,0.7521940272312464,0.3390583293873943,0.5787542261180146,0.7992262525448753,4.227310820077876
2202,"💬 Medycyna rodzinna może być lekiem na brak odpowiedniej profilaktyki. Brakuje jednak lekarzy rodzinnych. Należy przywracać etos lekarza z szerokimi specjalizacjami. To trudne, ale warto to robić systemowo – mówi dr Michał Sutkowski. 📍 Stadion Narodowy 🙋🏻‍♂️ #Kosiniak2020 _link_ ",twitter,9,2.0,2.8,1.8,1.8,3.8,2.8,2.6,1.6,0.0,0.25,0.4499999999999999,0.2,0.2,0.7,0.4499999999999999,0.4,0.15,0.3724461238330569,1.6757536723517683,0.1487240260835985,0.2177881870800934,4.073182756095952,1.2594310166902176,0.0743550323517963,1.0662046712867284,8.88788548577321
2222,"💬 Dziękuję samorządowcom, niezależnie z jakiej opcji pochodzą, że są tu dziś z nami. Bez normalnego dialogu, porozumienia i współpracy na wszystkich szczeblach nie będzie rozwoju Polski. O taką normalność walczę w tych wyborach. 📍Mikołajki 🙋🏻‍♂️#Kosiniak2020 _link_ ",twitter,20,3.8,1.2,1.0,1.0,1.2,3.0,4.0,2.2,0.0,0.7,0.0499999999999999,0.0,0.0,0.0499999999999999,0.5,0.75,0.3,2.307905516559003,0.6159360134212288,0.9183631631352648,0.7467505922894634,0.4075242569935894,1.4895241885159236,1.449566570744429,0.2652694150611691,8.20083971672007
3994,- Czy Róża Thun mogłaby przystąpić do PSL? Władysław Kosiniak-Kamysz: Poglądowo bliżej jej do partii do której przystąpił Wojciech Maksymowicz. Kierunek na Polskę 2050 już obrała. Możemy rozmawiać i współpracować z Pawłem Zalewskim i Ireneuszem Rasiem. _link_ ,twitter,96,1.2,1.0,1.0,1.0,1.2,1.4,3.0,1.6,0.0,0.0499999999999999,0.0,0.0,0.0,0.0499999999999999,0.0999999999999999,0.5,0.15,0.487758050711808,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.3512211860897234,0.3610511399614108,1.0662046712867284,5.241270284610842
4043,"Kosiniak-Kamysz: będziemy bronić prawa do samorządności, nie damy podzielić Mazowsza",twitter,54,1.4,1.6,2.2,1.2,1.8,1.8,2.2,2.8,0.0,0.0999999999999999,0.15,0.3,0.0499999999999999,0.2,0.2,0.3,0.4499999999999999,0.2727070070755918,0.0430135919779793,0.2360955424422346,0.5056158974470742,0.626485053719382,0.1089651575616884,0.5097612046650035,0.5356658411643895,2.838309296053344
4348,"""W sprawie głosowania zawiedli młodzi szefowie klubów - Budka, Gawkowski, Kosiniak-Kamysz"" - mówił dziś w programie Gość Wydarzeń lider PO, Grzegorz Schetyna.",,63,1.0,2.0,2.2,1.0,1.4,1.0,2.6,1.6,0.0,0.0,0.25,0.3,0.0,0.0999999999999999,0.0,0.4,0.15,0.7028090943480242,0.5299088294652698,0.2360955424422346,0.7467505922894634,0.0628544867559323,0.8114075297411351,0.0743550323517963,1.0662046712867284,4.230385778680584
4712,"_users_ Nie Gowin rozważany jest premiera, lecz Kosiniak-Kamysz",twitter,64,1.2,1.0,1.6,1.2,1.0,1.8,2.8,2.0,0.0,0.0499999999999999,0.0,0.15,0.0499999999999999,0.0,0.2,0.4499999999999999,0.25,0.487758050711808,0.9023972241428534,0.3411338103465151,0.5056158974470742,0.7521940272312464,0.1089651575616884,0.1433480538048069,0.5322478338030223,3.773660055049015
5031,"💬 Stroją się w szaty strażników wartości chrześcijańskich, a są pierwsi do obrażania innych. Nie dajmy się zwieść tym faryzeuszom. Oni żywią się konfliktem. Trzeba opuścić wojenne okopy i odbudować naszą wspólnotę. 📍Radom 🙋🏻‍♂️#Kosiniak2020 _link_ ",twitter,74,2.2,1.8,2.8,2.4,1.2,2.0,2.6,3.2,0.0,0.3,0.2,0.4499999999999999,0.35,0.0499999999999999,0.25,0.4,0.55,0.5874971674692734,0.2434476187436453,0.813324895230984,0.9411922716072608,0.4075242569935894,0.3390583293873943,0.0743550323517963,1.069622678648096,4.47602225043204
6108,"Schetyna nie powinien bawić się w __link__ ws. głosowania zawiedli młodzi szefowie klubów - Budka, Gawkowski, Kosiniak-Kamysz - Polsat News",,78,1.0,2.6,3.0,1.8,1.0,1.0,2.0,2.8,0.0,0.0,0.4,0.5,0.2,0.0,0.0,0.25,0.4499999999999999,0.7028090943480242,1.389292461630144,1.0057346794939006,0.2177881870800934,0.7521940272312464,0.8114075297411351,0.7274642908216074,0.5356658411643895,6.142356111510541
7959,"""Kosiniak-Kamysz jest sympatyczny, ale nie charyzmatyczny""",,61,2.0,1.8,1.0,1.0,1.0,1.4,3.0,2.0,1.0,0.25,0.2,0.0,0.0,0.0,0.0999999999999999,0.5,0.25,0.3724461238330569,0.2434476187436453,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.3512211860897234,0.3610511399614108,0.5322478338030223,4.277721685086833
