,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
5,"Ciekawe dlaczego pokazują obraz płodu z hasłem 'pigułka aborcyjna zabija.' O ile dobrze kojarzę, pigułka 'po' właśnie uniemożliwia powstanie płodu. Ale, może, cytując premiera Morawieckiego, 'ludzie są tak głupi, że to działa?' _link_ ",twitter,62,1.0,1.4,4.0,3.4,1.6,1.2,1.4,3.8,2.0,0.0,0.0999999999999999,0.75,0.6,0.15,0.0499999999999999,0.0999999999999999,0.7,0.7028090943480242,0.3294748026996042,1.9677836008084837,2.146865745819207,0.281815283481725,0.5813143579154293,1.3805735492914184,1.8705579348736547,9.261194369237549
90,"Związkowa Alternatywa wystosowała do premiera Mateusza Morawieckiego pismo, w którym domaga się dymisji prezes Zakładu Ubezpieczeń Społecznych Gertrudy Uścińskiej. W ich przekonaniu działania prezes szkodzą zakładowi i jego pracownikom.",twitter,90,1.0,1.8,2.6,1.0,1.4,1.0,2.4,2.0,0.0,0.0,0.2,0.4,0.0,0.0999999999999999,0.0,0.35,0.25,0.7028090943480242,0.2434476187436453,0.6209151109680676,0.7467505922894634,0.0628544867559323,0.8114075297411351,0.2920581185084002,0.5322478338030223,4.01249038515769
370,"Pan premier Morawiecki będzie zalecał badania prenatalne. A ja sądziłam, że lekarz jest do tego potrzebny",twitter,65,1.8,1.2,3.0,2.6,1.6,1.0,2.4,2.6,5.0,0.2,0.0499999999999999,0.5,0.4,0.15,0.0,0.35,0.4,0.1573950801968407,0.6159360134212288,1.0057346794939006,1.1823269664496503,0.281815283481725,0.8114075297411351,0.2920581185084002,0.2686874224225369,4.615361093715418
411,Morawiecki obiecywał nowe wały przeciwpowodziowe i ludzi ponownie zalało w 2020 czy w 2021 roku.,youtube,43,1.0,1.8,2.8,2.0,1.6,1.0,1.8,2.6,2.0,0.0,0.2,0.4499999999999999,0.25,0.15,0.0,0.2,0.4,0.7028090943480242,0.2434476187436453,0.813324895230984,0.4589228819224826,0.281815283481725,0.8114075297411351,0.945167376978211,0.2686874224225369,4.525582102868744
782,"Premier Morawiecki nie będzie zadowolony słysząc to❗ Dla banków trwa właśnie okres żniw, kredytobiorcy zmuszani są do niekorzystnych zmian w umowach.",,90,1.0,2.8,2.6,1.4,2.8,1.0,1.8,3.0,0.0,0.0,0.4499999999999999,0.4,0.0999999999999999,0.4499999999999999,0.0,0.2,0.5,0.7028090943480242,1.6757536723517683,0.6209151109680676,0.2644812026046851,2.3498339049076677,0.8114075297411351,0.945167376978211,0.8026442599062428,8.173012151805802
900,"Jakie są dwa główne skutki socjalizmu? Inflacja i niedobory towaru. Oba już mamy. A jeśli Morawiecki będzie z nimi walczył tak jak do tej pory, czyli poprzez zwiększanie socjalizmu - to jak myślicie, pokona inflację i niedobory towaru czy je zwiększy?",twitter,16,1.0,2.8,4.0,3.2,2.6,1.6,1.6,3.0,5.0,0.0,0.4499999999999999,0.75,0.55,0.4,0.15,0.15,0.5,0.7028090943480242,1.6757536723517683,1.9677836008084837,1.905731050976818,2.0051641346700104,0.1211280142640174,1.1628704631348146,0.8026442599062428,10.34388429046018
1037,"Premier Morawiecki uległ UE i kazał zamrozić izbę dyscyplinarną SN. Kasa przede wszystkim, kasta i tak hula jak chce. Tak to reforma wymiary sprawiedliwości kończy się farsą.",twitter,68,1.0,2.0,3.4,1.8,1.0,1.0,1.6,2.4,0.0,0.0,0.25,0.6,0.2,0.0,0.0,0.15,0.35,0.7028090943480242,0.5299088294652698,1.3905542480197337,0.2177881870800934,0.7521940272312464,0.8114075297411351,1.1628704631348146,0.0017090036806836,5.5692413827010006
1522,"Plan Morawieckiego na #COVID19: 1.Służba zdrowia, 2.Gospodarka, 3.Nowa strategia, ... 4.Zawetowanie środków europejskich, bo tak kazał Prezes i vicepremier 🙃",twitter,26,1.0,1.4,3.2,3.0,1.4,1.0,2.0,3.0,3.0,0.0,0.0999999999999999,0.55,0.5,0.0999999999999999,0.0,0.25,0.5,0.7028090943480242,0.3294748026996042,1.1981444637568175,1.6645963561344286,0.0628544867559323,0.8114075297411351,0.7274642908216074,0.8026442599062428,6.299395284163792
1536,"Minister Zalewska i Premier Morawiecki mogli zapobiec strajkowi, traktując poważnie nauczycieli i nie oszukując ich.",,6,1.0,2.4,3.8,3.0,1.6,1.2,1.8,3.0,0.0,0.0,0.35,0.7,0.5,0.15,0.0499999999999999,0.2,0.5,0.7028090943480242,1.102831250908519,1.7753738165455666,1.6645963561344286,0.281815283481725,0.5813143579154293,0.945167376978211,0.8026442599062428,7.856551796218148
1709,"Problem Morawieckiego polega na tym, że on nie jest premierem. On tylko udaje, że nim jest. Żaden premier nie tolerowałby niesubordynacji i łamania ustaleń przez swoich ministrów. _users_ ",twitter,91,1.0,1.8,3.0,3.0,1.2,1.0,1.8,2.6,1.0,0.0,0.2,0.5,0.5,0.0499999999999999,0.0,0.2,0.4,0.7028090943480242,0.2434476187436453,1.0057346794939006,1.6645963561344286,0.4075242569935894,0.8114075297411351,0.945167376978211,0.2686874224225369,6.049374334855472
1736,"Czy w ramach akcji „Mateusz Morawiecki szczepi całą Polskę... osobiście”, w pierwszej kolejności pan premier nie odwiedziłby Rzeszowa? Podobno w jednym z punktów nie nadążają z wymianą strzykawek, każda pomoc się przyda.",twitter,67,1.0,1.6,3.2,1.8,1.8,1.0,2.0,2.4,1.0,0.0,0.15,0.55,0.2,0.2,0.0,0.25,0.35,0.7028090943480242,0.0430135919779793,1.1981444637568175,0.2177881870800934,0.626485053719382,0.8114075297411351,0.7274642908216074,0.0017090036806836,4.328821215125722
1782,"Wiceminister znowu nie mówi prawdy. O konkretach w stosunkach polsko-niemieckich mogą dyskutować rządy, a nie prezydenci, którzy nie mają tu kompetencji. Merkel zaś nie chciała z Morawieckim rozmawiać. Prof. Bartoszewski miał rację ws. kadr #PiS w dyplomacji _link_ ",twitter,4,1.2,2.0,4.0,2.8,1.8,1.4,1.8,2.4,0.0,0.0499999999999999,0.25,0.75,0.4499999999999999,0.2,0.0999999999999999,0.2,0.35,0.487758050711808,0.5299088294652698,1.9677836008084837,1.4234616612920392,0.626485053719382,0.3512211860897234,0.945167376978211,0.0017090036806836,6.3334947627456
1786,Premier Morawiecki i minister Kościński najbogatszymi członkami rządu,twitter,42,1.0,1.4,2.0,1.6,1.0,1.0,2.4,1.6,0.0,0.0,0.0999999999999999,0.25,0.15,0.0,0.0,0.35,0.15,0.7028090943480242,0.3294748026996042,0.0436857581793179,0.0233465077622956,0.7521940272312464,0.8114075297411351,0.2920581185084002,1.0662046712867284,4.021180509756752
1860,"Fiasko rozmów z UE. #PiS zmienia narrację. Na spotkaniu z doradcami premier Morawiecki sugerował, że w razie czego ""rząd da radę bez unijnych pieniędzy"". Zapewniał, że jest w stanie ""dociągnąć do wyborów"" _link_ ",twitter,58,1.0,1.8,2.0,1.4,2.0,1.0,2.4,2.6,0.0,0.0,0.2,0.25,0.0999999999999999,0.25,0.0,0.35,0.4,0.7028090943480242,0.2434476187436453,0.0436857581793179,0.2644812026046851,0.971154823957039,0.8114075297411351,0.2920581185084002,0.2686874224225369,3.597731568504784
