,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
50,Za kasę z podatków i przymusowego abonamentu sponsorujemy w TVPIS 24-godzinny spot Prezydenta Dudy z przerwami na prognozę pogodę. #SilnyPrezydent #Trzaskowski2020 _link_ ,twitter,83,1.0,1.8,3.4,2.0,1.0,1.2,2.0,2.2,2.0,0.0,0.2,0.6,0.25,0.0,0.0499999999999999,0.25,0.3,0.7028090943480242,0.2434476187436453,1.3905542480197337,0.4589228819224826,0.7521940272312464,0.5813143579154293,0.7274642908216074,0.2652694150611691,5.121975934063338
94,Dlatego te pytania kierujemy teraz do Rafał Trzaskowski.,,75,1.2,1.6,1.4,1.2,1.6,1.4,3.0,2.4,0.0,0.0499999999999999,0.15,0.0999999999999999,0.0499999999999999,0.15,0.0999999999999999,0.5,0.35,0.487758050711808,0.0430135919779793,0.5335435946094318,0.5056158974470742,0.281815283481725,0.3512211860897234,0.3610511399614108,0.0017090036806836,2.565727747959836
252,"I o ostatnich sondażach, które pokazują że sztab Trzaskowskiego mógł ocenić, co jest potrzebne na ostatni tydzień kampanii. _link_ ",twitter,23,1.2,1.0,1.4,1.0,1.0,1.2,2.8,1.0,1.0,0.0499999999999999,0.0,0.0999999999999999,0.0,0.0,0.0499999999999999,0.4499999999999999,0.0,0.487758050711808,0.9023972241428534,0.5335435946094318,0.7467505922894634,0.7521940272312464,0.5813143579154293,0.1433480538048069,1.8671399275122875,6.014445828217327
279,"Na #CampusPolska byłem nie po to, by nawracać PO, Rafała Trzaskowskiego czy Donalda Tuska, ale by spotkać się i porozmawiać z młodymi ludźmi. Rozmawialiśmy o Bogu i o Kościele, o wierze i niewierze, bo warto rozmawiać, także gdy się nie zgadzamy. Innej drogi spotkania nie ma.",twitter,22,2.4,1.8,1.4,1.0,1.2,3.6,3.4,2.0,0.0,0.35,0.2,0.0999999999999999,0.0,0.0499999999999999,0.65,0.6,0.25,0.8025482111054892,0.2434476187436453,0.5335435946094318,0.7467505922894634,0.4075242569935894,2.1798037039930414,0.796457312274618,0.5322478338030223,6.242323123812301
663,"TT szefa sztabu Rafała Trzaskowskiego. Konfederacja ma ""mądre, dojrzałe stanowisko"", a ""Lewica się skończyła"".  Wow. Po prostu wow. _link_ ",twitter,16,1.0,2.4,3.8,3.4,2.0,1.0,1.6,3.4,3.0,0.0,0.35,0.7,0.6,0.25,0.0,0.15,0.6,0.7028090943480242,1.102831250908519,1.7753738165455666,2.146865745819207,0.971154823957039,0.8114075297411351,1.1628704631348146,1.3366010973899487,10.009913821844254
770,To jedna z przyczyn dla których jestem pewien sukcesu PAD w drugiej turze. Ludzie takiej „kultury” nie wytrzymają i rzucą się gorliwie Trzaskowskiemu pomagać. Ze skutkiem jak zawsze. _link_ ,twitter,62,1.0,1.8,3.6,2.4,1.0,1.6,1.8,2.6,2.0,0.0,0.2,0.65,0.35,0.0,0.15,0.2,0.4,0.7028090943480242,0.2434476187436453,1.5829640322826504,0.9411922716072608,0.7521940272312464,0.1211280142640174,0.945167376978211,0.2686874224225369,5.557589857877592
1140,"._users_ : Trzaskowski premierem, Hołownia prezydentem. Opozycja musi pokazać personalia _link_ ",twitter,61,2.0,1.4,1.6,1.0,1.0,2.6,3.6,3.0,0.0,0.25,0.0999999999999999,0.15,0.0,0.0,0.4,0.65,0.5,0.3724461238330569,0.3294748026996042,0.3411338103465151,0.7467505922894634,0.7521940272312464,1.029337844864512,1.0141603984312215,0.8026442599062428,5.388141859601863
1927,"Jaki włodarz takie podejście do ludzi, Polaków na bruk eksmisje,.nękanie przez podwyżki, remonty ,wyłączanie prądu wody-słynna afera kamienicznikow,A z ruskimi nie może sobie Trzaskowski poradzić?",youtube,27,1.0,1.4,4.0,2.8,2.2,1.4,1.8,3.8,4.0,0.0,0.0999999999999999,0.75,0.4499999999999999,0.3,0.0999999999999999,0.2,0.7,0.7028090943480242,0.3294748026996042,1.9677836008084837,1.4234616612920392,1.3158245941946964,0.3512211860897234,0.945167376978211,1.8705579348736547,8.906300251284437
2850,Tej fal zmian nic nie zatrzyma! #Trzaskowski2020,twitter,27,3.4,1.0,1.0,1.0,1.2,4.6,4.6,3.8,0.0,0.6,0.0,0.0,0.0,0.0499999999999999,0.8999999999999999,0.8999999999999999,0.7,1.8778034292865704,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,3.33026956312157,2.10267582921424,1.8705579348736547,12.156341993057207
3137,Co konkretnie Trzaskowski wypali żelazem? _link_ ,twitter,47,1.2,1.4,2.2,1.4,1.6,1.2,2.4,1.8,3.0,0.0499999999999999,0.0999999999999999,0.3,0.0999999999999999,0.15,0.0499999999999999,0.35,0.2,0.487758050711808,0.3294748026996042,0.2360955424422346,0.2644812026046851,0.281815283481725,0.5813143579154293,0.2920581185084002,0.7992262525448753,3.2722236109087617
3204,"Zdaniem ponad 36 procent badanych liderem opozycji jest Donald Tusk, zdaniem niecałych dziesięciu procent Rafał Trzaskowski, a zdaniem 8 z kawałeczkiem Szymon Holownia. No to przynajmniej tę jedną kwestię mamy już definitywnie rozstrzygniętą i z głowy.",twitter,40,1.0,1.0,1.4,1.6,1.0,1.4,2.8,2.0,2.0,0.0,0.0,0.0999999999999999,0.15,0.0,0.0999999999999999,0.4499999999999999,0.25,0.7028090943480242,0.9023972241428534,0.5335435946094318,0.0233465077622956,0.7521940272312464,0.3512211860897234,0.1433480538048069,0.5322478338030223,3.941107521791405
3210,Czy wiadomo kiedy debata PAD z Rafałem Trzaskowskim? Chyba nikomu nie zabraknie odwagi?,twitter,61,2.0,1.0,1.4,1.2,1.0,1.6,3.6,2.8,3.0,0.25,0.0,0.0999999999999999,0.0499999999999999,0.0,0.15,0.65,0.4499999999999999,0.3724461238330569,0.9023972241428534,0.5335435946094318,0.5056158974470742,0.7521940272312464,0.1211280142640174,1.0141603984312215,0.5356658411643895,4.737151121123292
4035,"Piękne. Nagrali nielegalną zbiórkę podpisów na Trzaskowskiego. Taka seria. Wcześniej Budka z mieszkaniem za dwa tysiące od metra i żona Jońskiego- miłośniczka wędlin. Ja wiedziałem, że w tej KO to mają prawo głęboko gdzieś. Ale że są przy tym tak nieudolnie głupi? Jednak szok",twitter,59,1.0,2.0,4.2,4.0,1.4,1.2,1.4,3.6,1.0,0.0,0.25,0.8,0.75,0.0999999999999999,0.0499999999999999,0.0999999999999999,0.65,0.7028090943480242,0.5299088294652698,2.1601933850714,2.8702698303463747,0.0628544867559323,0.5813143579154293,1.3805735492914184,1.603579516131802,9.891503049325651
4312,"Trzaskowski raz jest w Platformie, raz w swoim ruchu. _link_ ",twitter,11,1.0,1.2,3.0,2.4,1.2,1.2,2.0,2.0,2.0,0.0,0.0499999999999999,0.5,0.35,0.0499999999999999,0.0499999999999999,0.25,0.25,0.7028090943480242,0.6159360134212288,1.0057346794939006,0.9411922716072608,0.4075242569935894,0.5813143579154293,0.7274642908216074,0.5322478338030223,5.514222798404063
4364,"_users_ W większym stopniu opozycja, ale tak, wpłynął, pozwolił zamienić Kidawę, która uzyskałaby ujemny wynik, na Trzaskowskiego, który uzyskał dodatni",twitter,52,1.6,1.0,1.2,1.0,1.0,1.8,3.4,2.4,0.0,0.15,0.0,0.0499999999999999,0.0,0.0,0.2,0.6,0.35,0.0576559634393754,0.9023972241428534,0.7259533788723483,0.7467505922894634,0.7521940272312464,0.1089651575616884,0.796457312274618,0.0017090036806836,4.092082659492277
4405,"Premier o wiarygodności Rafała Trzaskowskiego: ""Kłamał bezczelnie, patrząc w oko kamery"" _link_ ",twitter,48,1.0,1.0,3.6,2.2,1.0,1.0,1.6,3.0,1.0,0.0,0.0,0.65,0.3,0.0,0.0,0.15,0.5,0.7028090943480242,0.9023972241428534,1.5829640322826504,0.700057576764872,0.7521940272312464,0.8114075297411351,1.1628704631348146,0.8026442599062428,7.41734420755184
4461,"Trzaskowski pisze list do Dudy. ""Nie wiemy w jakim celu prezydent udaje się do USA"" _link_ ",twitter,24,1.0,1.5,1.25,1.0,1.25,1.25,2.5,1.75,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.375,0.1875,0.7028090943480242,0.1862441973387917,0.6778509328066191,0.7467505922894634,0.3213568144341751,0.5237910649590027,0.1832065754300983,0.8659708572303386,4.207980128836513
4474,"W Warszawie rząd i organizatorzy marszu apelują do prezydenta Trzaskowskiego o uprzątnięcie kostki brukowej z centrum stolicy, a dziennikarze dostali od policji instrukcje, by nie nosić łańcuszków - by nie zostać nimi podduszonym... To przed marszem 11 listopada.",,84,1.0,2.2,2.8,2.2,2.8,1.0,1.6,3.2,1.0,0.0,0.3,0.4499999999999999,0.3,0.4499999999999999,0.0,0.15,0.55,0.7028090943480242,0.8163700401868949,0.813324895230984,0.700057576764872,2.3498339049076677,0.8114075297411351,1.1628704631348146,1.069622678648096,8.426296182962489
5163,"Wy się cieszycie, a ja będę miał Trzaskowskiego z powrotem w Warszawie",twitter,81,1.2,2.2,3.0,1.6,1.0,1.2,2.2,2.6,2.0,0.0499999999999999,0.3,0.5,0.15,0.0,0.0499999999999999,0.3,0.4,0.487758050711808,0.8163700401868949,1.0057346794939006,0.0233465077622956,0.7521940272312464,0.5813143579154293,0.5097612046650035,0.2686874224225369,4.445166290389115
5229,Libicki o ruchu Rafała Trzaskowskiego,,95,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0999999999999999,0.7028090943480242,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.8114075297411351,0.3610511399614108,1.3331830900285817,6.52815586087798
6070,"Konkretnie. Trzaskowski pisze: ""Zależy nam przede wszystkim na bezpieczeństwie pasażerów i na zachowaniu dystansu między nimi. Dbamy jednak także o to, aby jak najefektywniej i najbezpieczniej działał personel"". Jak personelowi pomoże to, że będzie jechało więcej pasażerów???",twitter,68,1.0,1.8,3.0,1.6,2.0,1.2,1.6,2.6,3.0,0.0,0.2,0.5,0.15,0.25,0.0499999999999999,0.15,0.4,0.7028090943480242,0.2434476187436453,1.0057346794939006,0.0233465077622956,0.971154823957039,0.5813143579154293,1.1628704631348146,0.2686874224225369,4.959364967777685
