item,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M
Ochrona środowiska jest bardzo ważna we współczesnym świecie,0.14461584389209747,0.09936648607254028,0.024743910878896713,0.009911400265991688,0.10334277153015137,0.22506044805049896,0.49579960107803345,0.2515023648738861
Powinniśmy zrezygnować z zanieczyszczających środowisko źródeł energii,0.04036138206720352,0.24287189543247223,0.21265028417110443,0.062018781900405884,0.1801568567752838,0.08167147636413574,0.3265674114227295,0.30714455246925354
Regulacje środowiskowe są potrzebne,0.05268801376223564,0.057037174701690674,0.10052081942558289,0.03312186151742935,0.1018805280327797,0.07698692381381989,0.4374934136867523,0.22211702167987823
Państwo powinno przeciwdziałać globalnemu ociepleniu,0.024798784404993057,0.18027178943157196,0.12629543244838715,0.04180386662483215,0.32703897356987,0.03462071716785431,0.33017781376838684,0.2681278586387634
Człowiek przykłada obecnie zbyt dużą wagę do ochrony zwierząt hodowlanych,0.018053140491247177,0.24857451021671295,0.2420308142900467,0.1130162701010704,0.0967070460319519,0.02583351545035839,0.2935524880886078,0.2561328411102295
Segregacja śmieci powinna być obowiązkiem,0.04643196240067482,0.11467825621366501,0.1946389526128769,0.058641739189624786,0.07773014903068542,0.1152813732624054,0.39364632964134216,0.2654508650302887
Należy zmniejszyć produkcje mięsa,0.033464714884757996,0.1206042617559433,0.12585853040218353,0.044600918889045715,0.14716514945030212,0.04891921952366829,0.39077672362327576,0.24178016185760498
Złym jest samo istnienie państwa,0.015497738495469093,0.48718124628067017,0.3244955241680145,0.2244776338338852,0.20064714550971985,0.031905822455883026,0.2112017422914505,0.37523311376571655
W trakcie kryzysu autorytaryzm jest lepszy od demokracji,0.022601252421736717,0.1661764532327652,0.3028131425380707,0.2613644301891327,0.1553344428539276,0.032874759286642075,0.28961074352264404,0.32043784856796265
Czystość rasowa jest lepsza od mieszania się ras,0.1490616649389267,0.06938990950584412,0.15987208485603333,0.09686213731765747,0.06548710912466049,0.17266079783439636,0.4647090435028076,0.3214811682701111
Aborcja powinna być legalna na życzenie,0.021860769018530846,0.13217666745185852,0.2883991301059723,0.10749762505292892,0.097947858273983,0.044567424803972244,0.3393714427947998,0.2665230631828308
Państwo powinno poczynić dodatkowe starania w celu ograniczenia dostępu do pornografii nieletnim,0.020961349830031395,0.1589626967906952,0.34810200333595276,0.14207975566387177,0.13792450726032257,0.046169571578502655,0.29542824625968933,0.3206600248813629
Ustrój państwa powinien być oparty na zasadach szerokiej decentralizacji,0.052775461226701736,0.0640278309583664,0.08369025588035583,0.0277248527854681,0.0681782066822052,0.10228428244590759,0.4507436156272888,0.16740506887435913
Prawo Pracy powinno zostać zniesione lub mocno ograniczone,0.015425283461809158,0.1638898253440857,0.26403993368148804,0.08491510152816772,0.10507319867610931,0.030074911192059517,0.31955215334892273,0.2682955861091614
Związki partnerskie pomiędzy osobami tej samej płci powinny być legalne,0.032157640904188156,0.07963789999485016,0.26178425550460815,0.08963439613580704,0.0763191431760788,0.06629720330238342,0.3631962835788727,0.2923070192337036
Symbole narodowe mają dużą wartość,0.2541990876197815,0.03757789358496666,0.02449730969965458,0.017918016761541367,0.01613054797053337,0.3211580216884613,0.6091834902763367,0.18255043029785156
