politician,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M
Władysław Kosiniak-Kamysz,0.04837502911686897,0.03129085153341293,0.03449726104736328,0.023079490289092064,0.028066307306289673,0.04991278052330017,0.4882730543613434,0.08861245959997177
Szymon Hołownia,0.08515775203704834,0.021264096722006798,0.028648270294070244,0.020287221297621727,0.021380586549639702,0.07821737229824066,0.5287159085273743,0.10284685343503952
Andrzej Duda,0.03143464773893356,0.06813221424818039,0.08112825453281403,0.035430051386356354,0.031608425080776215,0.05230840668082237,0.4391273558139801,0.13787038624286652
Rafał Trzaskowski,0.05918976292014122,0.031771983951330185,0.027250034734606743,0.0180086437612772,0.024921244010329247,0.0638749822974205,0.5144315958023071,0.0942392498254776
Włodzimierz Czarzasty,0.06274391710758209,0.028809616342186928,0.032373882830142975,0.023860828951001167,0.023264462128281593,0.06932124495506287,0.5110087990760803,0.10304482281208038
Tomasz Grodzki,0.05166884511709213,0.03720385208725929,0.02950853481888771,0.02154877781867981,0.02675257809460163,0.06192151829600334,0.48140597343444824,0.09305312484502792
Mariusz Błaszczak,0.06826893240213394,0.029089152812957764,0.036906175315380096,0.018772577866911888,0.02276391163468361,0.10562946647405624,0.5105668902397156,0.1224011480808258
Elżbieta Witek,0.12864716351032257,0.02137644588947296,0.01655961386859417,0.012517889961600304,0.017666378989815712,0.11657196283340454,0.5658959150314331,0.09914368391036987
Donald Tusk,0.067721426486969,0.027402160689234734,0.031559012830257416,0.023314669728279114,0.02010895311832428,0.07324783504009247,0.5152485966682434,0.09065187722444534
Mateusz Morawiecki,0.042220789939165115,0.04262598603963852,0.040497515350580215,0.02392391301691532,0.02482938952744007,0.05719517171382904,0.47669169306755066,0.09748294949531555
Jarosław Kaczyński,0.02967483550310135,0.06199168786406517,0.07547701150178909,0.04317020624876022,0.03452730551362038,0.04549110308289528,0.42322075366973877,0.13295169174671173
Zbigniew Ziobro,0.0560019351541996,0.03009813092648983,0.05060878023505211,0.0337112694978714,0.02300175279378891,0.07742591202259064,0.47174566984176636,0.13209833204746246
Sławomir Mentzen,0.08410404622554779,0.022362690418958664,0.0225701741874218,0.0188070610165596,0.021737070754170418,0.07489950209856033,0.5373717546463013,0.077738918364048
Przemysław Czarnek,0.03874786198139191,0.043003715574741364,0.07463632524013519,0.04172726348042488,0.0330478772521019,0.03691215440630913,0.45265746116638184,0.12227319180965424
Robert Biedroń,0.042255133390426636,0.04064110666513443,0.06122097000479698,0.04575744643807411,0.02835703268647194,0.04533743858337402,0.4648820161819458,0.12313400954008102
Piotr Zgorzelski,0.05391368642449379,0.03441205248236656,0.036289364099502563,0.02535274066030979,0.024706145748496056,0.049093931913375854,0.4967273771762848,0.08497098833322525
Beata Szydło,0.04421049356460571,0.04072059318423271,0.03776070475578308,0.023045454174280167,0.029386522248387337,0.06264133006334305,0.48794126510620117,0.09417833387851715
Adrian Zandberg,0.0471704937517643,0.036352261900901794,0.05487091839313507,0.037537913769483566,0.029057614505290985,0.04939946532249451,0.4727659225463867,0.11850956827402115
Krzysztof Bosak,0.054320719093084335,0.031398188322782516,0.03165457397699356,0.020847901701927185,0.025847703218460083,0.063522569835186,0.5095705389976501,0.10079431533813477
Michał Kołodziejczak,0.13714613020420074,0.019963227212429047,0.015411521308124065,0.011094696819782257,0.01739627495408058,0.12158761918544769,0.5610642433166504,0.10067491233348846
